"Group","Variable","Unit","n","Mean","Median","Min","Max","CI_low","CI_high"
"19","Presence Catfish","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"20","Presence Catfish","",7,0,0,0,0,0,0
"All sites","Presence Eel","",136,0.0441176470588235,0,0,1,0.00916337787904297,0.0790719162386041
"1","Presence Eel","",6,0.166666666666667,0,0,1,-0.261763639272719,0.595096972606052
"2","Presence Eel","",6,0,0,0,0,0,0
"3","Presence Eel","",7,0,0,0,0,0,0
"4","Presence Eel","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"5","Presence Eel","",7,0,0,0,0,0,0
"6","Presence Eel","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"7","Presence Eel","",7,0,0,0,0,0,0
"8","Presence Eel","",7,0,0,0,0,0,0
"9","Presence Eel","",7,0,0,0,0,0,0
"10","Presence Eel","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"11","Presence Eel","",7,0,0,0,0,0,0
"12","Presence Eel","",7,0,0,0,0,0,0
"13","Presence Eel","",6,0,0,0,0,0,0
"14","Presence Eel","",6,0,0,0,0,0,0
"15","Presence Eel","",7,0,0,0,0,0,0
"16","Presence Eel","",7,0,0,0,0,0,0
"17","Presence Eel","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"18","Presence Eel","",7,0.142857142857143,0,0,1,-0.20670169302071,0.492415978734996
"19","Presence Eel","",7,0,0,0,0,0,0
"20","Presence Eel","",7,0,0,0,0,0,0
"All sites","Presence Goldfish","",136,0.625,1,0,1,0.542596155115032,0.707403844884968
"1","Presence Goldfish","",6,0.5,0.5,0,1,-0.0747995726208989,1.0747995726209
"2","Presence Goldfish","",6,0.333333333333333,0,0,1,-0.208592900831156,0.875259567497823
"3","Presence Goldfish","",7,0.571428571428571,1,0,1,0.0770777248827613,1.06577941797438
"4","Presence Goldfish","",7,0.428571428571429,0,0,1,-0.0657794179743815,0.922922275117239
"5","Presence Goldfish","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"6","Presence Goldfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"7","Presence Goldfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"8","Presence Goldfish","",7,0.285714285714286,0,0,1,-0.165564230910573,0.736992802339144
"9","Presence Goldfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"10","Presence Goldfish","",7,0.428571428571429,0,0,1,-0.0657794179743815,0.922922275117239
"11","Presence Goldfish","",7,0.714285714285714,1,0,1,0.263007197660856,1.16556423091057
"12","Presence Goldfish","",7,0.857142857142857,1,0,1,0.507584021265004,1.20670169302071
"13","Presence Goldfish","",6,0.833333333333333,1,0,1,0.404903027393948,1.26176363927272
