"Monitoring_ID","Date_Time_out","Net_type","Amount_nets","Species","Scientific_name","Species_name","Maori_name","Native/nonnative","Taonga","Amount","Sex","Length_mm","Weight_g","Soft_shelled","Berried","Youngs","Cups","mL","Comments","Site_ID","ID","Monitoring","Monitoring_ID.","Lake","Site","LID","Lat","Lon","Site_size","DHT","Date_Time","Weather","Lake_water_clarity_m","Sediment_sample","Macrophyte_sample","Notes","Distance_5m","Distance_20m","Distance_deep_20m","Calculated_slope","Total_ weight_reef","Season"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Morihana","Carassius auratus","Goldfish","Morihana","Nonnative","No",1,NA,220,284,NA,NA,NA,NA,NA,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Mosquitofish","Gambusia affinis","Gambusia","Mosquitofish","Nonnative","No",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,535,NA,NA,NA,2.5,591.47,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,578,NA,NA,NA,2.5,591.47,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,589,NA,NA,NA,2.5,591.47,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,559,NA,NA,NA,2.5,591.47,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,530,NA,NA,NA,2.5,591.47,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,529,NA,NA,NA,2.5,591.47,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,557,NA,NA,NA,2.5,591.47,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"5_0",2025-02-07 10:44:59.995,"Fyke",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,221,NA,NA,NA,1,236.588,NA,5,3,0,"3_0","Rotoiti","Reef",54730,-38.047698100528,176.341122568488,150,"Sandy",2025-02-04 12:50:00,"Sunny",3,1,1,"nets collepes first time",75.1030427476967,1429.22107248619,1427.76371668429,0.0140079200544795,1980,"Summer"
"6_0",2025-02-05 12:20:00,"Box",2,"Bullies","Gobiomorphus cotidianus","Common_bully","Toitoi","Native","No",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,6,4,0,"4_0","Rotoiti","Control",54730,-38.0480187161085,176.341484639114,150,"Sandy",2025-02-04 12:30:00,"Sunny",3,1,1,"nets collepes first time",73.1064213892519,1435.7027457702,1433.76093577721,0.0139493269072493,NA,"Summer"
